timestamp,metric,value,run_name,method,test_case,field,tags
1499660764000,jmeter.latency.avg,44.4260898765,debug-2017-07-09-21-24-38,dv,jsonfacet,s1000000_s,{}
1499660948000,jmeter.latency.avg,19.4876414275,debug-2017-07-09-21-27-43,enum,jsonfacet,s10_s,{}
1499661132000,jmeter.latency.avg,18.8589522752,debug-2017-07-09-21-30-47,enum,jsonfacet,s100_s,{}
1499661317000,jmeter.latency.avg,19.5035989434,debug-2017-07-09-21-33-51,enum,jsonfacet,s1000_s,{}
1499661501000,jmeter.latency.avg,22.0302421846,debug-2017-07-09-21-36-55,enum,jsonfacet,s10000_s,{}
1499661685000,jmeter.latency.avg,31.4434711019,debug-2017-07-09-21-39-59,enum,jsonfacet,s100000_s,{}
1499661869000,jmeter.latency.avg,45.929475456,debug-2017-07-09-21-43-03,enum,jsonfacet,s1000000_s,{}
1499746239000,jmeter.latency.avg,19.8274498367,debug-2017-07-10-21-09-13,dv,jsonfacet,s10_s,{}
1499746423000,jmeter.latency.avg,18.8283072608,debug-2017-07-10-21-12-18,dv,jsonfacet,s100_s,{}
1499746607000,jmeter.latency.avg,19.4925349326,debug-2017-07-10-21-15-22,dv,jsonfacet,s1000_s,{}
1499746791000,jmeter.latency.avg,21.6896362293,debug-2017-07-10-21-18-26,dv,jsonfacet,s10000_s,{}
1499746975000,jmeter.latency.avg,30.5684652087,debug-2017-07-10-21-21-30,dv,jsonfacet,s100000_s,{}
1499747160000,jmeter.latency.avg,45.1519383404,debug-2017-07-10-21-24-34,dv,jsonfacet,s1000000_s,{}
1499747344000,jmeter.latency.avg,19.8423115272,debug-2017-07-10-21-27-38,enum,jsonfacet,s10_s,{}
1499747528000,jmeter.latency.avg,18.6301905729,debug-2017-07-10-21-30-42,enum,jsonfacet,s100_s,{}
1499747712000,jmeter.latency.avg,21.1505989882,debug-2017-07-10-21-33-46,enum,jsonfacet,s1000_s,{}
1499747896000,jmeter.latency.avg,22.8978217399,debug-2017-07-10-21-36-50,enum,jsonfacet,s10000_s,{}
1499748080000,jmeter.latency.avg,31.665113681,debug-2017-07-10-21-39-55,enum,jsonfacet,s100000_s,{}
1499748264000,jmeter.latency.avg,45.6405284352,debug-2017-07-10-21-42-59,enum,jsonfacet,s1000000_s,{}
1499832642000,jmeter.latency.avg,17.7526550836,debug-2017-07-11-21-09-16,dv,jsonfacet,s10_s,{}
1499832826000,jmeter.latency.avg,19.0107795883,debug-2017-07-11-21-12-20,dv,jsonfacet,s100_s,{}
1499833010000,jmeter.latency.avg,19.2733467702,debug-2017-07-11-21-15-24,dv,jsonfacet,s1000_s,{}
1499833194000,jmeter.latency.avg,21.7861842056,debug-2017-07-11-21-18-28,dv,jsonfacet,s10000_s,{}
1499833378000,jmeter.latency.avg,31.2358391317,debug-2017-07-11-21-21-33,dv,jsonfacet,s100000_s,{}
1499833563000,jmeter.latency.avg,45.2402616876,debug-2017-07-11-21-24-37,dv,jsonfacet,s1000000_s,{}
1499833747000,jmeter.latency.avg,17.9907766371,debug-2017-07-11-21-27-41,enum,jsonfacet,s10_s,{}
1499833931000,jmeter.latency.avg,18.8595719718,debug-2017-07-11-21-30-45,enum,jsonfacet,s100_s,{}
1499834115000,jmeter.latency.avg,19.4182935134,debug-2017-07-11-21-33-50,enum,jsonfacet,s1000_s,{}
1499834299000,jmeter.latency.avg,21.8391955637,debug-2017-07-11-21-36-54,enum,jsonfacet,s10000_s,{}
1499834483000,jmeter.latency.avg,31.5067080594,debug-2017-07-11-21-39-58,enum,jsonfacet,s100000_s,{}
1499834668000,jmeter.latency.avg,44.8128552551,debug-2017-07-11-21-43-02,enum,jsonfacet,s1000000_s,{}
1499919041000,jmeter.latency.avg,16.908861265,debug-2017-07-12-21-09-15,dv,jsonfacet,s10_s,{}
1499919225000,jmeter.latency.avg,16.3760730019,debug-2017-07-12-21-12-19,dv,jsonfacet,s100_s,{}
1499919409000,jmeter.latency.avg,18.9319249377,debug-2017-07-12-21-15-23,dv,jsonfacet,s1000_s,{}
1499919593000,jmeter.latency.avg,18.701823945,debug-2017-07-12-21-18-27,dv,jsonfacet,s10000_s,{}
1499919778000,jmeter.latency.avg,26.2237229044,debug-2017-07-12-21-21-32,dv,jsonfacet,s100000_s,{}
1499919962000,jmeter.latency.avg,42.2445179847,debug-2017-07-12-21-24-36,dv,jsonfacet,s1000000_s,{}
1499920146000,jmeter.latency.avg,16.7043480565,debug-2017-07-12-21-27-40,enum,jsonfacet,s10_s,{}
1499920330000,jmeter.latency.avg,16.086845298,debug-2017-07-12-21-30-44,enum,jsonfacet,s100_s,{}
1499920514000,jmeter.latency.avg,18.1670777106,debug-2017-07-12-21-33-48,enum,jsonfacet,s1000_s,{}
1499920698000,jmeter.latency.avg,18.5988004842,debug-2017-07-12-21-36-52,enum,jsonfacet,s10000_s,{}
1499920883000,jmeter.latency.avg,27.2070644285,debug-2017-07-12-21-39-57,enum,jsonfacet,s100000_s,{}
1499921067000,jmeter.latency.avg,42.5101157365,debug-2017-07-12-21-43-01,enum,jsonfacet,s1000000_s,{}
