timestamp,metric,value,num_threads,test_case,run_name,tags
1501215590000,jmeter.latency.avg,51.1027277654,4,hdfsappend,debug-2017-07-27-21-19-50,{}
1501215685000,jmeter.latency.avg,49.21726665,16,hdfsappend,debug-2017-07-27-21-21-25,{}
1501301901000,jmeter.latency.avg,48.7821543077,1,hdfsappend,debug-2017-07-28-21-18-21,{}
1501301996000,jmeter.latency.avg,49.338106861,4,hdfsappend,debug-2017-07-28-21-19-56,{}
1501302091000,jmeter.latency.avg,49.9532981556,16,hdfsappend,debug-2017-07-28-21-21-31,{}
1501388281000,jmeter.latency.avg,57.3052975405,1,hdfsappend,debug-2017-07-29-21-18-01,{}
1501388376000,jmeter.latency.avg,48.3358736864,4,hdfsappend,debug-2017-07-29-21-19-36,{}
1501388472000,jmeter.latency.avg,50.846783765,16,hdfsappend,debug-2017-07-29-21-21-11,{}
1501474699000,jmeter.latency.avg,52.8652314561,1,hdfsappend,debug-2017-07-30-21-18-19,{}
1501474794000,jmeter.latency.avg,51.4809036437,4,hdfsappend,debug-2017-07-30-21-19-54,{}
1501474889000,jmeter.latency.avg,51.2690336844,16,hdfsappend,debug-2017-07-30-21-21-29,{}
1501561094000,jmeter.latency.avg,55.0766373999,1,hdfsappend,debug-2017-07-31-21-18-14,{}
1501561189000,jmeter.latency.avg,49.7583362936,4,hdfsappend,debug-2017-07-31-21-19-49,{}
1501561285000,jmeter.latency.avg,50.3309682709,16,hdfsappend,debug-2017-07-31-21-21-24,{}
1501647502000,jmeter.latency.avg,55.4115370754,1,hdfsappend,debug-2017-08-01-21-18-22,{}
1501647597000,jmeter.latency.avg,48.843083509,4,hdfsappend,debug-2017-08-01-21-19-57,{}
1501647693000,jmeter.latency.avg,50.2981842009,16,hdfsappend,debug-2017-08-01-21-21-33,{}
1501733896000,jmeter.latency.avg,45.0456428133,1,hdfsappend,debug-2017-08-02-21-18-16,{}
1501733991000,jmeter.latency.avg,49.5966278813,4,hdfsappend,debug-2017-08-02-21-19-51,{}
1501734086000,jmeter.latency.avg,50.8583203084,16,hdfsappend,debug-2017-08-02-21-21-26,{}
1501820297000,jmeter.latency.avg,55.5925524326,1,hdfsappend,debug-2017-08-03-21-18-17,{}
1501820392000,jmeter.latency.avg,50.1149860469,4,hdfsappend,debug-2017-08-03-21-19-52,{}
1501820487000,jmeter.latency.avg,49.5083479901,16,hdfsappend,debug-2017-08-03-21-21-27,{}
1501906701000,jmeter.latency.avg,50.9327585654,1,hdfsappend,debug-2017-08-04-21-18-21,{}
1501906796000,jmeter.latency.avg,51.1674636067,4,hdfsappend,debug-2017-08-04-21-19-56,{}
1501906891000,jmeter.latency.avg,50.512081763,16,hdfsappend,debug-2017-08-04-21-21-31,{}
1501993055000,jmeter.latency.avg,50.4253671721,1,hdfsappend,debug-2017-08-05-21-17-35,{}
1501993150000,jmeter.latency.avg,49.6847760573,4,hdfsappend,debug-2017-08-05-21-19-10,{}
1501993245000,jmeter.latency.avg,50.2135410588,16,hdfsappend,debug-2017-08-05-21-20-45,{}
1502079500000,jmeter.latency.avg,44.6704419481,1,hdfsappend,debug-2017-08-06-21-18-20,{}
1502079595000,jmeter.latency.avg,50.3631581675,4,hdfsappend,debug-2017-08-06-21-19-55,{}
1502079690000,jmeter.latency.avg,51.5421560808,16,hdfsappend,debug-2017-08-06-21-21-30,{}
1502165853000,jmeter.latency.avg,52.3904543495,1,hdfsappend,debug-2017-08-07-21-17-33,{}
1502165948000,jmeter.latency.avg,50.181211514,4,hdfsappend,debug-2017-08-07-21-19-08,{}
1502166043000,jmeter.latency.avg,50.1811088143,16,hdfsappend,debug-2017-08-07-21-20-43,{}
1502252297000,jmeter.latency.avg,49.6002770133,1,hdfsappend,debug-2017-08-08-21-18-17,{}
1502252392000,jmeter.latency.avg,49.2357144074,4,hdfsappend,debug-2017-08-08-21-19-52,{}
1502252487000,jmeter.latency.avg,50.4451221311,16,hdfsappend,debug-2017-08-08-21-21-27,{}
1502338659000,jmeter.latency.avg,45.8787796747,1,hdfsappend,debug-2017-08-09-21-17-39,{}
1502338754000,jmeter.latency.avg,49.4832654313,4,hdfsappend,debug-2017-08-09-21-19-14,{}
1502338849000,jmeter.latency.avg,52.2463420901,16,hdfsappend,debug-2017-08-09-21-20-49,{}
1502425099000,jmeter.latency.avg,48.8844865554,1,hdfsappend,debug-2017-08-10-21-18-19,{}
1502425194000,jmeter.latency.avg,50.73896662,4,hdfsappend,debug-2017-08-10-21-19-54,{}
1502425289000,jmeter.latency.avg,50.1017374285,16,hdfsappend,debug-2017-08-10-21-21-29,{}
1502511454000,jmeter.latency.avg,52.3729250751,1,hdfsappend,debug-2017-08-11-21-17-34,{}
1502511549000,jmeter.latency.avg,52.8741827591,4,hdfsappend,debug-2017-08-11-21-19-09,{}
1502511645000,jmeter.latency.avg,49.7706939073,16,hdfsappend,debug-2017-08-11-21-20-45,{}
1502597860000,jmeter.latency.avg,50.5813189799,1,hdfsappend,debug-2017-08-12-21-17-40,{}
1502597955000,jmeter.latency.avg,49.775618529,4,hdfsappend,debug-2017-08-12-21-19-15,{}
1502598050000,jmeter.latency.avg,48.1106801544,16,hdfsappend,debug-2017-08-12-21-20-50,{}
1502684298000,jmeter.latency.avg,50.4601000502,1,hdfsappend,debug-2017-08-13-21-18-18,{}
1502684393000,jmeter.latency.avg,51.3598536251,4,hdfsappend,debug-2017-08-13-21-19-53,{}
1502684488000,jmeter.latency.avg,50.9309070487,16,hdfsappend,debug-2017-08-13-21-21-28,{}
