timestamp,metric,value,run_name,method,test_case,field,tags
1499573587000,sar.cpu%,16.2812903226,debug-2017-07-08-21-11-41,dv,jsonfacet,s100_s,{}
1499573771000,sar.cpu%,16.3492473118,debug-2017-07-08-21-14-45,dv,jsonfacet,s1000_s,{}
1499573955000,sar.cpu%,16.3750537634,debug-2017-07-08-21-17-49,dv,jsonfacet,s10000_s,{}
1499574139000,sar.cpu%,16.4577419355,debug-2017-07-08-21-20-53,dv,jsonfacet,s100000_s,{}
1499574323000,sar.cpu%,16.5878494624,debug-2017-07-08-21-23-58,dv,jsonfacet,s1000000_s,{}
1499574508000,sar.cpu%,16.3848387097,debug-2017-07-08-21-27-02,enum,jsonfacet,s10_s,{}
1499574692000,sar.cpu%,16.3033333333,debug-2017-07-08-21-30-06,enum,jsonfacet,s100_s,{}
1499574876000,sar.cpu%,16.3102150538,debug-2017-07-08-21-33-10,enum,jsonfacet,s1000_s,{}
1499575060000,sar.cpu%,16.4732258065,debug-2017-07-08-21-36-14,enum,jsonfacet,s10000_s,{}
1499575244000,sar.cpu%,16.6712903226,debug-2017-07-08-21-39-19,enum,jsonfacet,s100000_s,{}
1499575428000,sar.cpu%,16.5582795699,debug-2017-07-08-21-42-23,enum,jsonfacet,s1000000_s,{}
1499659843000,sar.cpu%,16.3793548387,debug-2017-07-09-21-09-17,dv,jsonfacet,s10_s,{}
1499660027000,sar.cpu%,16.3040860215,debug-2017-07-09-21-12-21,dv,jsonfacet,s100_s,{}
1499660211000,sar.cpu%,16.3521505376,debug-2017-07-09-21-15-26,dv,jsonfacet,s1000_s,{}
1499660396000,sar.cpu%,16.3327956989,debug-2017-07-09-21-18-30,dv,jsonfacet,s10000_s,{}
1499660580000,sar.cpu%,16.4402150538,debug-2017-07-09-21-21-34,dv,jsonfacet,s100000_s,{}
1499660764000,sar.cpu%,16.5202150538,debug-2017-07-09-21-24-38,dv,jsonfacet,s1000000_s,{}
1499660948000,sar.cpu%,16.2868817204,debug-2017-07-09-21-27-43,enum,jsonfacet,s10_s,{}
1499661132000,sar.cpu%,16.2967741935,debug-2017-07-09-21-30-47,enum,jsonfacet,s100_s,{}
1499661317000,sar.cpu%,16.3098924731,debug-2017-07-09-21-33-51,enum,jsonfacet,s1000_s,{}
1499661501000,sar.cpu%,16.8575268817,debug-2017-07-09-21-36-55,enum,jsonfacet,s10000_s,{}
1499661685000,sar.cpu%,16.421827957,debug-2017-07-09-21-39-59,enum,jsonfacet,s100000_s,{}
1499661869000,sar.cpu%,16.5696774194,debug-2017-07-09-21-43-03,enum,jsonfacet,s1000000_s,{}
1499746239000,sar.cpu%,16.3322580645,debug-2017-07-10-21-09-13,dv,jsonfacet,s10_s,{}
1499746423000,sar.cpu%,16.3522580645,debug-2017-07-10-21-12-18,dv,jsonfacet,s100_s,{}
1499746607000,sar.cpu%,16.3146236559,debug-2017-07-10-21-15-22,dv,jsonfacet,s1000_s,{}
1499746791000,sar.cpu%,16.3424731183,debug-2017-07-10-21-18-26,dv,jsonfacet,s10000_s,{}
1499746975000,sar.cpu%,16.4741935484,debug-2017-07-10-21-21-30,dv,jsonfacet,s100000_s,{}
1499747160000,sar.cpu%,16.5472043011,debug-2017-07-10-21-24-34,dv,jsonfacet,s1000000_s,{}
1499747344000,sar.cpu%,16.3329032258,debug-2017-07-10-21-27-38,enum,jsonfacet,s10_s,{}
1499747528000,sar.cpu%,16.3376344086,debug-2017-07-10-21-30-42,enum,jsonfacet,s100_s,{}
1499747712000,sar.cpu%,16.3441935484,debug-2017-07-10-21-33-46,enum,jsonfacet,s1000_s,{}
1499747896000,sar.cpu%,17.675483871,debug-2017-07-10-21-36-50,enum,jsonfacet,s10000_s,{}
1499748080000,sar.cpu%,16.4982795699,debug-2017-07-10-21-39-55,enum,jsonfacet,s100000_s,{}
1499748264000,sar.cpu%,16.5850537634,debug-2017-07-10-21-42-59,enum,jsonfacet,s1000000_s,{}
1499832642000,sar.cpu%,16.2911827957,debug-2017-07-11-21-09-16,dv,jsonfacet,s10_s,{}
1499832826000,sar.cpu%,16.2953763441,debug-2017-07-11-21-12-20,dv,jsonfacet,s100_s,{}
1499833010000,sar.cpu%,16.2731182796,debug-2017-07-11-21-15-24,dv,jsonfacet,s1000_s,{}
1499833194000,sar.cpu%,16.3862365591,debug-2017-07-11-21-18-28,dv,jsonfacet,s10000_s,{}
1499833378000,sar.cpu%,16.4624731183,debug-2017-07-11-21-21-33,dv,jsonfacet,s100000_s,{}
1499833563000,sar.cpu%,16.5423655914,debug-2017-07-11-21-24-37,dv,jsonfacet,s1000000_s,{}
1499833747000,sar.cpu%,16.2576344086,debug-2017-07-11-21-27-41,enum,jsonfacet,s10_s,{}
1499833931000,sar.cpu%,16.3724731183,debug-2017-07-11-21-30-45,enum,jsonfacet,s100_s,{}
1499834115000,sar.cpu%,16.3205376344,debug-2017-07-11-21-33-50,enum,jsonfacet,s1000_s,{}
1499834299000,sar.cpu%,16.7482795699,debug-2017-07-11-21-36-54,enum,jsonfacet,s10000_s,{}
1499834483000,sar.cpu%,16.6421505376,debug-2017-07-11-21-39-58,enum,jsonfacet,s100000_s,{}
1499834668000,sar.cpu%,16.5138709677,debug-2017-07-11-21-43-02,enum,jsonfacet,s1000000_s,{}
1499919041000,sar.cpu%,16.2172043011,debug-2017-07-12-21-09-15,dv,jsonfacet,s10_s,{}
1499919225000,sar.cpu%,16.2408602151,debug-2017-07-12-21-12-19,dv,jsonfacet,s100_s,{}
1499919409000,sar.cpu%,16.3551612903,debug-2017-07-12-21-15-23,dv,jsonfacet,s1000_s,{}
1499919593000,sar.cpu%,16.3578494624,debug-2017-07-12-21-18-27,dv,jsonfacet,s10000_s,{}
1499919778000,sar.cpu%,16.477311828,debug-2017-07-12-21-21-32,dv,jsonfacet,s100000_s,{}
1499919962000,sar.cpu%,16.558172043,debug-2017-07-12-21-24-36,dv,jsonfacet,s1000000_s,{}
1499920146000,sar.cpu%,16.2872043011,debug-2017-07-12-21-27-40,enum,jsonfacet,s10_s,{}
1499920330000,sar.cpu%,16.2690322581,debug-2017-07-12-21-30-44,enum,jsonfacet,s100_s,{}
1499920514000,sar.cpu%,16.2901075269,debug-2017-07-12-21-33-48,enum,jsonfacet,s1000_s,{}
1499920698000,sar.cpu%,16.4706451613,debug-2017-07-12-21-36-52,enum,jsonfacet,s10000_s,{}
1499920883000,sar.cpu%,16.4923655914,debug-2017-07-12-21-39-57,enum,jsonfacet,s100000_s,{}
1499921067000,sar.cpu%,16.5646236559,debug-2017-07-12-21-43-01,enum,jsonfacet,s1000000_s,{}
1500005440000,sar.cpu%,16.365483871,debug-2017-07-13-21-09-14,dv,jsonfacet,s10_s,{}
1500005624000,sar.cpu%,16.3364516129,debug-2017-07-13-21-12-18,dv,jsonfacet,s100_s,{}
1500005808000,sar.cpu%,16.3110752688,debug-2017-07-13-21-15-22,dv,jsonfacet,s1000_s,{}
